ID,Title,Language,Release Date,Subjects,Categories,Reading Ease
106,Jungle Tales of Tarzan,English,"Feb 1, 1994","['Tarzan (Fictitious character) -- Fiction', 'Africa -- Fiction', 'Fantasy fiction', 'Jungles -- Fiction', 'Adventure stories', 'Apes -- Fiction']","['PZ: Language and Literatures: Juvenile belles lettres', 'PS: Language and Literatures: American and Canadian literature']",67.84338435768672
107,Far from the Madding Crowd,English,"Feb 1, 1994","['Didactic fiction', 'Love stories', 'Triangles (Interpersonal relations) -- Fiction', 'Pastoral fiction', 'Farm life -- Fiction', 'Women farmers -- Fiction', 'Wessex (England) -- Fiction']",['PR: Language and Literatures: English literature'],70.84875101567488
108,The Return of Sherlock Holmes,English,"Mar 8, 2006","['Holmes, Sherlock (Fictitious character) -- Fiction', 'Private investigators -- England -- Fiction', 'Detective and mystery stories, English']",['PR: Language and Literatures: English literature'],76.7714849138132
109,"Renascence, and Other Poems",English,"Feb 1, 1994",['American poetry'],['PS: Language and Literatures: American and Canadian literature'],67.04183266316117
110,Tess of the d'Urbervilles: A Pure Woman,English,"Feb 1, 1994","['Didactic fiction', 'Poor families -- Fiction', 'Children of the rich -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Pastoral fiction', 'Children of clergy -- Fiction', 'Wessex (England) -- Fiction', 'Man-woman relationships -- Fiction', 'Women murderers -- Fiction', 'Rape victims -- Fiction', 'Women household employees -- Fiction']",['PR: Language and Literatures: English literature'],70.02308716391002
111,Freckles,English,"Mar 8, 2006","['Orphans -- Fiction', 'People with disabilities -- Fiction', 'Indiana -- Fiction', 'Swamps -- Fiction']","['PZ: Language and Literatures: Juvenile belles lettres', 'PS: Language and Literatures: American and Canadian literature']",80.08522436687988
112,Violists,English,"Mar 1, 1994","['Short stories', 'Love stories', 'Fathers and daughters -- Fiction', 'Violists -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],68.84946007929638
113,The Secret Garden,English,"Mar 1, 1994","['Orphans -- Juvenile fiction', 'People with disabilities -- Juvenile fiction', 'Gardens -- Juvenile fiction', 'Yorkshire (England) -- Juvenile fiction']",['PZ: Language and Literatures: Juvenile belles lettres'],82.33469518096707
114,The Tenniel Illustrations for Carroll's Alice in Wonderland,English,"Mar 1, 1994","['Fantasy fiction', ""Children's stories""]","['NC: Fine Arts: Drawing, Design, Illustration', 'PR: Language and Literatures: English literature', 'PZ: Language and Literatures: Juvenile belles lettres']",
115,United States Census Figures Back to 1630,English,"Mar 1, 1994","['United States -- Population -- Statistics', 'United States -- Census', 'United States -- Statistics']",['HA: Social sciences: Statistics'],116.76157529153792
116,Motion Pictures of the Apollo 11 Lunar Landing,English,"Mar 1, 1994","['Project Apollo (U.S.)', 'Apollo 11 (Spacecraft)', 'Space flight to the moon']","['TL: Technology: Motor vehicles, Aeronautics, Astronautics']",
117,Symphony No. 5 in C minor Opus 67,English,"Mar 1, 1994",['Music'],['M: Music'],37.34010639230959
118,Big Dummy's Guide to the Internet,English,"Mar 1, 1994","['Internet', 'Computer networks']","['TK: Technology: Electrical, Electronics and Nuclear engineering']",59.99636105134053
119,A Tramp Abroad,English,"Jun 19, 2004","['Humorous stories', 'Europe -- Fiction', 'Americans -- Europe -- Fiction', 'Walking -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],65.59651306864903
120,Treasure Island,English,"Feb 26, 2006","['Sea stories', 'Pirates -- Fiction', 'Treasure troves -- Fiction', 'Treasure Island (Imaginary place) -- Fiction']","['PR: Language and Literatures: English literature', 'PZ: Language and Literatures: Juvenile belles lettres']",78.10713080420213
121,Northanger Abbey,English,"Apr 1, 1994","['England -- Social life and customs -- 19th century -- Fiction', 'Satire', 'England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Gothic fiction', 'Horror tales -- Appreciation -- Fiction', 'Books and reading -- Fiction', 'Gentry -- England -- Fiction', 'Marriage -- Economic aspects -- Fiction']",['PR: Language and Literatures: English literature'],62.92021008034355
122,The Return of the Native,English,"Mar 8, 2006","['Adultery -- Fiction', 'Didactic fiction', 'Love stories', 'Mate selection -- Fiction', 'Wessex (England) -- Fiction', 'Mothers and sons -- Fiction', 'People with visual disabilities -- Fiction', 'Heathlands -- Fiction']",['PR: Language and Literatures: English literature'],74.89035894308431
123,At the Earth's Core,English,"Apr 1, 1994","['Science fiction', 'Fantasy fiction', 'Adventure stories', 'Earth (Planet) -- Core -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],66.1133155243802
124,Deuterocanonical Books of the Bible Apocrypha,English,"Apr 1, 1994","['Bible. Apocrypha', 'Apocryphal books (Old Testament)']","['BS: Philosophy, Psychology, Religion: Christianity: The Bible, Old and New Testament']",65.43216995454291
125,A Girl of the Limberlost,English,"Mar 8, 2006","['Didactic fiction', 'Indiana -- Fiction', 'Domestic fiction', 'Bildungsromans', 'Mothers and daughters -- Fiction', 'Girls -- Fiction', 'Conflict of generations -- Fiction', 'Swamps -- Fiction', 'Moths -- Fiction']","['PZ: Language and Literatures: Juvenile belles lettres', 'PS: Language and Literatures: American and Canadian literature']",82.37020576086388
126,The Poison Belt,English,"Apr 1, 1994","['Science fiction', 'Challenger, Professor (Fictitious character) -- Fiction']",['PR: Language and Literatures: English literature'],68.10105583722549
127,"The number ""e""",English,"Apr 1, 1994","['Mathematics', 'Mathematical constants']",['QA: Science: Mathematics'],
128,The Arabian Nights Entertainments,English,"May 1, 1994","['Fairy tales', ""Children's stories"", 'Arabs -- Folklore', 'Folklore -- Arab countries', 'Tales -- Arab countries', 'Fairy tales -- Arab countries']","['PJ: Language and Literatures: Oriental languages and literatures', 'PZ: Language and Literatures: Juvenile belles lettres']",69.7371463393157
129,The square root of 2,English,"May 1, 1994","['Mathematics', 'Square root']",['QA: Science: Mathematics'],
130,Orthodoxy,English,"May 1, 1994","['Apologetics', 'Chesterton, G. K. (Gilbert Keith), 1874-1936', 'Christianity -- Essence, genius, nature']","['BR: Philosophy, Psychology, Religion: Christianity']",60.54890663980858
131,"The Pilgrim's Progress from this world to that which is to come Delivered under the similitude of a dream, by John Bunyan",English,"May 1, 1994","['Christian fiction', 'Christian pilgrims and pilgrimages -- Fiction']",['PR: Language and Literatures: English literature'],73.07401222413692
132,The Art of War,English,"May 1, 1994","['Military art and science -- Early works to 1800', 'War -- Early works to 1800']",['U: Military science'],60.443338060209356
133,The Damnation of Theron Ware,English,"Mar 8, 2006","['Psychological fiction', 'Clergy -- Fiction', 'New York (State) -- Fiction', 'Belief and doubt -- Fiction', 'Methodists -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],68.48063842477829
134,"Maria; Or, The Wrongs of Woman",English,"Mar 8, 2006","['Autobiographical fiction', 'Feminist fiction', 'Women -- Fiction']",['PR: Language and Literatures: English literature'],51.33082321443965
135,Les Misérables,English,"Jun 22, 2008","['Historical fiction', 'Orphans -- Fiction', 'Paris (France) -- Fiction', 'Epic literature', 'Ex-convicts -- Fiction']","['PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese']",70.03963581379097
136,A Child's Garden of Verses,English,"Jun 1, 1994","[""Children's poetry, English""]","['PR: Language and Literatures: English literature', 'PZ: Language and Literatures: Juvenile belles lettres']",64.08329555476108
137,"Sara Crewe; Or, What Happened at Miss Minchin's Boarding School",English,"Mar 8, 2006","['Orphans -- Juvenile fiction', 'Schools -- Juvenile fiction', 'Boarding schools -- Juvenile fiction', 'Girls -- Juvenile fiction', 'London (England) -- Juvenile fiction']",['PZ: Language and Literatures: Juvenile belles lettres'],72.5458593324586
138,George Sand: Some Aspects of Her Life and Writings,English,"Mar 11, 2006","['Sand, George, 1804-1876', 'Women novelists, French -- 19th century -- Biography']","['PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese']",65.49666429087206
139,The Lost World,English,"Jun 1, 1994","['Challenger, Professor (Fictitious character) -- Fiction', 'Fantasy fiction', 'South America -- Fiction', 'Prehistoric peoples -- Fiction', 'Dinosaurs -- Fiction']",['PR: Language and Literatures: English literature'],69.7391465787772
140,The Jungle,English,"Mar 11, 2006","['Meat industry and trade -- Fiction', 'Working class -- Fiction', 'Political fiction', 'Lithuanian Americans -- Fiction', 'Stockyards -- Fiction', 'Immigrants -- Fiction', 'Chicago (Ill.) -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],68.58981774334237
141,Mansfield Park,English,"Jun 1, 1994","['England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Domestic fiction', 'Country homes -- Fiction', 'Adoptees -- Fiction', 'Children of the rich -- Fiction', 'Cousins -- Fiction', 'Uncles -- Fiction']",['PR: Language and Literatures: English literature'],64.4683384931815
142,"The $30,000 Bequest, and Other Stories",English,"Sep 14, 2004","['Humorous stories, American', 'United States -- Social life and customs -- Fiction', 'Short stories, American']",['PS: Language and Literatures: American and Canadian literature'],67.3713903841424
143,The Mayor of Casterbridge,English,"Mar 11, 2006","['Psychological fiction', 'Fathers and daughters -- Fiction', 'Men -- England -- Fiction', 'Wessex (England) -- Fiction', 'Runaway husbands -- Fiction', 'Atonement -- Fiction', 'Mayors -- Fiction']",['PR: Language and Literatures: English literature'],70.22991300776197
144,The Voyage Out,English,"Jan 12, 2006","['Young women -- Fiction', 'Love stories', 'Bildungsromans', 'Ocean travel -- Fiction', 'Women travelers -- Fiction', 'British -- South America -- Fiction']",['PR: Language and Literatures: English literature'],72.26991121769827
145,Middlemarch,English,"Jul 1, 1994","['Didactic fiction', 'City and town life -- Fiction', 'England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Domestic fiction', 'Married people -- Fiction', 'Bildungsromans']",['PR: Language and Literatures: English literature'],65.60632696924037
146,A Little Princess Being the whole story of Sara Crewe now told for the first time,English,"Jul 1, 1994","['Orphans -- Juvenile fiction', 'Schools -- Juvenile fiction', 'Boarding schools -- Juvenile fiction', 'Girls -- Juvenile fiction', 'London (England) -- Juvenile fiction']",['PZ: Language and Literatures: Juvenile belles lettres'],78.14621744123704
147,Common Sense,English,"Jul 1, 1994","['United States -- Politics and government -- 1775-1783', 'Political science -- Early works to 1800', 'Monarchy -- Early works to 1800']",['E201: History: America: Revolution (1775-1783)'],46.99943920952458
148,The Autobiography of Benjamin Franklin,English,"Jul 1, 1994","['Franklin, Benjamin, 1706-1790', 'Statesmen -- United States -- Biography']",['E300: History: America: Revolution to the Civil War (1783-1861)'],50.18856343071856
149,The Lost Continent,English,"Jul 1, 1994","['Science fiction', 'Fantasy fiction', 'England -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],65.51107026952708
150,The Republic,English,"Jul 1, 1994","['Political science -- Early works to 1800', 'Utopias -- Early works to 1800', 'Justice -- Early works to 1800']",['JC: Political science: Political theory'],61.149227459790154
151,The Rime of the Ancient Mariner,English,"Mar 11, 2006",['Poetry'],['PR: Language and Literatures: English literature'],67.25652577402944
152,Wild Justice,English,"Aug 1, 1994","['Sex discrimination -- Fiction', 'Universities and colleges -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],63.14960743649934
153,Jude the Obscure,English,"Aug 1, 1994","['Adultery -- Fiction', 'Didactic fiction', 'Love stories', 'Illegitimate children -- Fiction', 'Wessex (England) -- Fiction', 'Stonemasons -- Fiction', 'Children -- Death -- Fiction', 'Unmarried couples -- Fiction']",['PR: Language and Literatures: English literature'],73.66083339223295
154,The Rise of Silas Lapham,English,"Aug 1, 1994","['Psychological fiction', 'Domestic fiction', 'Boston (Mass.) -- Fiction', 'Rich people -- Fiction', 'Socialites -- Fiction', 'Businessmen -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],78.27699692101888
155,The Moonstone,English,"Jan 12, 2006","['England -- Fiction', 'Country homes -- Fiction', 'Police -- England -- Fiction', 'Jewelry theft -- Fiction', 'East Indians -- England -- Fiction', 'Mystery fiction']",['PR: Language and Literatures: English literature'],72.85130272040493
156,"Symphony No. 5 in C minor, Opus 67",English,"Aug 1, 1994",['Music'],['M: Music'],37.30275386313468
157,Daddy-Long-Legs,English,"Aug 1, 1994","['Orphans -- Fiction', 'Boarding schools -- Fiction', 'Schools -- Fiction', 'Young women -- Fiction', 'Love stories', 'Bildungsromans', 'Epistolary fiction', 'Women authors -- Fiction', 'Philanthropists -- Fiction', 'Women college students -- Fiction', 'Universities and colleges -- Fiction', 'Letters -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],71.64835364894272
158,Emma,English,"Aug 1, 1994","['Humorous stories', 'England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Fathers and daughters -- Fiction', 'Bildungsromans', 'Mate selection -- Fiction', 'Female friendship -- Fiction']",['PR: Language and Literatures: English literature'],68.45417146583117
159,The island of Doctor Moreau,English,"Oct 14, 2004","['Science fiction', 'Shipwreck survival -- Fiction', 'Animal experimentation -- Fiction', 'Islands -- Fiction', 'Science -- Ethics -- Fiction']",['PR: Language and Literatures: English literature'],72.62045187997101
160,"The Awakening, and Selected Short Stories",English,"Mar 11, 2006","['Adultery -- Fiction', 'Women -- Louisiana -- New Orleans -- Social conditions -- Fiction', 'Self-actualization (Psychology) -- Fiction', 'New Orleans (La.) -- Fiction', 'Louisiana -- Social life and customs -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],72.20278768575785
161,Sense and Sensibility,English,"Sep 1, 1994","['England -- Social life and customs -- 19th century -- Fiction', 'Inheritance and succession -- Fiction', 'England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Sisters -- Fiction', 'Domestic fiction', 'Mate selection -- Fiction', 'Social classes -- Fiction', 'Gentry -- England -- Fiction', 'Regency fiction']",['PR: Language and Literatures: English literature'],61.10511011061233
162,Take Me for a Ride: Coming of Age in a Destructive Cult,English,"Sep 1, 1994","['Lenz, Frederick, 1950-', 'Cults -- United States']","['BL: Philosophy, Psychology, Religion: Religion: General, Miscellaneous and Atheism']",66.92630893794727
163,Flower Fables,English,"Sep 1, 1994","['Short stories', ""Children's stories, American"", 'Fairy tales -- United States', 'Flowers -- Juvenile fiction', 'Flowers -- Juvenile poetry', 'Fairies -- Juvenile poetry']",['PZ: Language and Literatures: Juvenile belles lettres'],66.23255670242604
164,Twenty Thousand Leagues under the Sea,English,"Sep 1, 1994","['Science fiction', 'Submarines (Ships) -- Fiction', 'Sea stories', 'Adventure stories', 'Underwater exploration -- Fiction']","['PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese']",68.32158955744517
165,McTeague: A Story of San Francisco,English,"Mar 12, 2006","['Didactic fiction', 'Psychological fiction', 'Married people -- Fiction', 'Murderers -- Fiction', 'San Francisco (Calif.) -- Fiction', 'Avarice -- Fiction', 'Dentists -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],76.1910763715102
166,Summer,English,"Mar 12, 2006","['Young women -- Fiction', 'Love stories', 'Guardian and ward -- Fiction', 'Man-woman relationships -- Fiction', 'Berkshire Hills (Mass.) -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],71.90646307864343
167,American Hand Book of the Daguerreotype,English,"Sep 1, 1994","['Photography', 'Daguerreotype']",['TR: Technology: Photography'],50.93473272424106
168,The History and Practice of the Art of Photography,English,"Oct 1, 1994","['Photography', 'Daguerreotype']",['TR: Technology: Photography'],50.17254093692529
169,The Well at the World's End: A Tale,English,"Oct 1, 1994","['Fantasy fiction', 'Quests (Expeditions) -- Fiction']",['PR: Language and Literatures: English literature'],71.85649643505954
170,The Haunted Hotel: A Mystery of Modern Venice,English,"Oct 1, 1994","['Venice (Italy) -- Fiction', 'Detective and mystery stories', 'Hotels -- Fiction']",['PR: Language and Literatures: English literature'],68.8430119357422
171,Charlotte Temple,English,"Mar 12, 2006","['British -- New York (State) -- New York -- Fiction', 'Runaway teenagers -- Fiction', 'New York (N.Y.) -- Fiction', 'Didactic fiction', 'Psychological fiction', 'Illegitimate children -- Fiction', 'Soldiers -- Fiction', 'Elopement -- Fiction', 'Teenage girls -- Fiction', 'Betrayal -- Fiction', 'Seduction -- Fiction', 'Teenage pregnancy -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],55.75725829086538
172,The Haunted Bookshop,English,"Oct 1, 1994","['Booksellers and bookselling -- Fiction', 'Brooklyn (New York, N.Y.) -- Fiction', 'Mystery and detective stories']",['PS: Language and Literatures: American and Canadian literature'],72.6759624853562
173,The Insidious Dr. Fu Manchu,English,"Oct 1, 1994","['Detective and mystery stories', 'Fu Manchu, Doctor (Fictitious character) -- Fiction', 'Criminals -- Fiction']",['PR: Language and Literatures: English literature'],72.8957542593625
174,The Picture of Dorian Gray,English,"Oct 1, 1994","['Didactic fiction', 'Supernatural -- Fiction', 'Conduct of life -- Fiction', 'Portraits -- Fiction', 'Great Britain -- History -- Victoria, 1837-1901 -- Fiction', 'London (England) -- History -- 1800-1950 -- Fiction', 'Appearance (Philosophy) -- Fiction', 'Paranormal fiction']",['PR: Language and Literatures: English literature'],78.50453716298775
175,The Phantom of the Opera,English,"Oct 1, 1994","['Horror tales', 'Musical fiction', 'Opera -- Fiction', 'Paris (France) -- Fiction', 'Composers -- Fiction', 'Phantom of the Opera (Fictitious character) -- Fiction', 'French fiction -- Translations into English']","['PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese']",76.15452828580428
176,Roderick Hudson,English,"Mar 12, 2006","['Man-woman relationships -- Fiction', 'Rome (Italy) -- Fiction', 'Americans -- Italy -- Fiction', 'Sculptors -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],70.56348551242161
177,The American,English,"Mar 12, 2006","['Psychological fiction', 'Love stories', 'Widows -- Fiction', 'Courtship -- Fiction', 'Paris (France) -- Fiction', 'Aristocracy (Social class) -- Fiction', 'Culture conflict -- Fiction', 'Separation (Psychology) -- Fiction', 'Americans -- France -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],74.42113594301108
178,Confidence,English,"Mar 15, 2006","['Male friendship -- Fiction', 'Man-woman relationships -- Fiction', 'British -- Europe -- Fiction', 'Americans -- Europe -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],71.68634955991273
179,The Europeans,English,"Mar 15, 2006","['Humorous stories', 'Domestic fiction', 'Siblings -- Fiction', 'Boston (Mass.) -- Fiction', 'Upper class -- Fiction', 'Europeans -- United States -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],71.88930573944087
180,The 1994 CIA World Factbook,English,"Nov 1, 1994","['World politics -- Handbooks, manuals, etc.', 'Geography -- Handbooks, manuals, etc.', 'Political science -- Handbooks, manuals, etc.', 'Political statistics -- Handbooks, manuals, etc.']","['G: Geography, Anthropology, Recreation']",18.182073446141516
181,The Project Gutenberg RST Manual,English,"Jan 1, 2001","['Electronic books', 'Electronic publishing -- Handbooks, manuals, etc.']","['Z: Bibliography, Library science']",55.46375191561978
182,,,,[],[],
183,,,,[],[],
184,,,,[],[],
185,,,,[],[],
186,,,,[],[],
187,,,,[],[],
188,,,,[],[],
189,,,,[],[],
190,,,,[],[],
191,,,,[],[],
192,,,,[],[],
193,,,,[],[],
194,,,,[],[],
195,,,,[],[],
196,,,,[],[],
197,,,,[],[],
198,,,,[],[],
199,,,,[],[],
200,"The Project Gutenberg Encyclopedia, Volume 1 of 28",English,"Jan 1, 1995",['Encyclopedias and dictionaries'],['AE: General Works: Encyclopedias'],50.4456767652737
201,Flatland: A Romance of Many Dimensions,English,"Jan 1, 1995",['Fourth dimension'],['QA: Science: Mathematics'],50.742385582362886
202,My Bondage and My Freedom,English,"Jul 2, 2008","['Douglass, Frederick, 1818-1895', 'Enslaved persons -- Maryland -- Social conditions -- 19th century', 'African American abolitionists -- Biography', 'Abolitionists -- United States -- Biography', 'Antislavery movements -- United States -- History -- 19th century', 'Fugitive slaves -- Maryland -- Biography', 'Plantation life -- Maryland -- History -- 19th century']",['E300: History: America: Revolution to the Civil War (1783-1861)'],59.5931054941357
203,Uncle Tom's Cabin,English,"Jan 13, 2006","['Slavery -- Fiction', 'Didactic fiction', 'Political fiction', 'Master and servant -- Fiction', 'African Americans -- Fiction', 'Southern States -- Fiction', 'Fugitive slaves -- Fiction', 'Plantation life -- Fiction', 'Uncle Tom (Fictitious character) -- Fiction', 'Enslaved persons -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],72.88239377657992
204,The innocence of Father Brown,English,"Jul 9, 2008","['England -- Fiction', 'Clergy -- Fiction', 'Detective and mystery stories, English', 'Catholics -- Fiction', 'Brown, Father (Fictitious character) -- Fiction']",['PR: Language and Literatures: English literature'],70.58381043980972
205,"Walden, and On The Duty Of Civil Disobedience",English,"Jan 1, 1995","['Civil disobedience', 'Authors, American -- 19th century -- Biography', 'Thoreau, Henry David, 1817-1862 -- Homes and haunts -- Massachusetts -- Walden Woods', 'Wilderness areas -- Massachusetts -- Walden Woods', 'Natural history -- Massachusetts -- Walden Woods', 'Solitude', 'Government, Resistance to', 'Walden Woods (Mass.) -- Social life and customs']",['PS: Language and Literatures: American and Canadian literature'],60.533839478735175
206,"The Martin Luther King, Jr. Day, 1995, Memorial Issue",English,"Jun 29, 2008","['Martin Luther King, Jr., Day', 'Civil rights movements', 'United States -- History', 'African Americans -- Social conditions -- To 1964']",['E151: History: America: United States'],58.762801590580494
207,The Spell of the Yukon and Other Verses,English,"Jan 1, 1995",['Yukon River Valley (Yukon and Alaska) -- Poetry'],['PS: Language and Literatures: American and Canadian literature'],69.12415281974445
208,Daisy Miller: A Study,English,"Jul 3, 2008","['Psychological fiction', 'Young women -- Fiction', 'Europe -- Fiction', 'Americans -- Europe -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],67.92235585585587
209,The Turn of the Screw,English,"Feb 1, 1995","['England -- Fiction', 'Psychological fiction', 'Governesses -- Fiction', 'Ghost stories', 'Children -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],73.28749048925624
210,An International Episode,English,"Jul 9, 2008","['Americans -- England -- Fiction', 'Manners and customs -- Fiction', 'British -- United States -- Fiction', 'New York (State) -- Social life and customs -- Fiction', 'London (England) -- Social life and customs -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],68.43731527005346
211,The Aspern Papers,English,"Jun 29, 2008","['Venice (Italy) -- Fiction', 'Psychological fiction', 'Man-woman relationships -- Fiction', 'Poets -- Fiction', 'Manuscripts -- Collectors and collecting -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],70.01627725981808
212,A List of Factorial Math Constants,English,"Feb 1, 1995","['Mathematics', 'Factorials']",['QA: Science: Mathematics'],-7.026248934035593
213,The Man from Snowy River,English,"Feb 1, 1995",['Frontier and pioneer life -- Australia -- Poetry'],['PR: Language and Literatures: English literature'],68.83290043714084
214,"In the Days When the World Was Wide, and Other Verses",English,"Jul 3, 2008","['Frontier and pioneer life -- Australia -- Poetry', 'Australian poetry']",['PR: Language and Literatures: English literature'],68.86304748784981
215,The call of the wild,English,"Jul 2, 2008","['Dogs -- Fiction', 'Adventure stories', 'Nature stories', 'Klondike River Valley (Yukon) -- Fiction', 'Sled dogs -- Fiction', 'Pet theft -- Fiction', 'Feral dogs -- Fiction', 'Animal welfare -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],72.43133896932268
216,"The Tao Teh King, or the Tao and its Characteristics",English,"Feb 1, 1995","['Philosophy, Chinese', 'Taoism -- Sacred books']","['BL: Philosophy, Psychology, Religion: Religion: General, Miscellaneous and Atheism']",63.833311175103105
217,Sons and Lovers,English,"Jan 16, 2006","['Autobiographical fiction', 'England -- Fiction', 'Domestic fiction', 'Bildungsromans', 'Young men -- Fiction', 'Working class families -- Fiction']",['PR: Language and Literatures: English literature'],84.85272336861284
218,"C. Iuli Caesaris De Bello Gallico, I-IV",Latin,"Jul 3, 2008","['Gaul -- History -- Gallic Wars, 58-51 B.C.']","['DC: History: General and Eastern Hemisphere: France, Andorra, Monaco', 'PA: Language and Literatures: Classical Languages and Literature']",23.009731767285388
219,Heart of Darkness,English,"Jan 9, 2006","['Africa -- Fiction', 'Europeans -- Africa -- Fiction', 'Trading posts -- Fiction', 'Degeneration -- Fiction', 'Imperialism -- Fiction', 'Psychological fiction']",['PR: Language and Literatures: English literature'],70.56077316187721
220,The Secret Sharer,English,"Jan 9, 2006","['Sea stories', 'Psychological fiction', 'Ship captains -- Fiction', 'Fugitives from justice -- Fiction']",['PR: Language and Literatures: English literature'],71.99422020612984
221,The Return of Sherlock Holmes,English,"Feb 1, 1995","['Holmes, Sherlock (Fictitious character) -- Fiction', 'Private investigators -- England -- Fiction', 'Detective and mystery stories, English']",['PR: Language and Literatures: English literature'],76.80262115548148
222,The Moon and Sixpence,English,"Feb 1, 1995","['England -- Fiction', 'Psychological fiction', 'Painters -- Fiction', 'Tahiti (French Polynesia : Island) -- Fiction']",['PR: Language and Literatures: English literature'],76.62238525807398
223,The wisdom of Father Brown,English,"Feb 1, 1995","['England -- Fiction', 'Clergy -- Fiction', 'Detective and mystery stories, English', 'Catholics -- Fiction', 'Brown, Father (Fictitious character) -- Fiction']",['PR: Language and Literatures: English literature'],68.05408017521034
224,A pair of blue eyes,English,"Jul 11, 2008","['Didactic fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Wessex (England) -- Fiction', 'Separation (Psychology) -- Fiction', 'Elopement -- Fiction']",['PR: Language and Literatures: English literature'],72.19073720952431
225,At the Back of the North Wind,English,"Jul 11, 2008",['Fairy tales'],"['PR: Language and Literatures: English literature', 'PZ: Language and Literatures: Juvenile belles lettres']",84.16736690739799
226,Cicero's Orations,Latin,"Mar 1, 1995","['Speeches, addresses, etc., Latin', 'Rome -- History -- 53-44 B.C. -- Sources']",['PA: Language and Literatures: Classical Languages and Literature'],32.0454693236573
227,Aeneidos,Latin,"Mar 1, 1995","['Aeneas (Legendary character) -- Poetry', 'Legends -- Rome -- Poetry', 'Epic poetry, Latin']",['PA: Language and Literatures: Classical Languages and Literature'],33.96655540599676
228,The Aeneid,English,"Mar 1, 1995","['Aeneas (Legendary character) -- Poetry', 'Legends -- Rome -- Poetry', 'Epic poetry, Latin -- Translations into English']",['PA: Language and Literatures: Classical Languages and Literature'],70.69420985580324
229,The Bucolics and Eclogues,Latin,"Mar 1, 1995","['Country life -- Rome -- Poetry', 'Pastoral poetry, Latin']",['PA: Language and Literatures: Classical Languages and Literature'],43.059089703032214
230,The Bucolics and Eclogues,English,"Mar 1, 1995","['Pastoral poetry, Latin -- Translations into English', 'Country life -- Rome -- Poetry']",['PA: Language and Literatures: Classical Languages and Literature'],65.34551263624387
231,Georgicon,Latin,"Mar 1, 1995","['Didactic poetry, Latin', 'Agriculture -- Poetry']",['PA: Language and Literatures: Classical Languages and Literature'],30.777451962835073
232,The Georgics,English,"Mar 1, 1995","['Agriculture -- Poetry', 'Didactic poetry, Latin -- Translations into English']",['PA: Language and Literatures: Classical Languages and Literature'],57.223853504938674
233,Sister Carrie: A Novel,English,"Mar 1, 1995","['New York (N.Y.) -- Fiction', 'Didactic fiction', 'Young women -- Fiction', 'Chicago (Ill.) -- Fiction', 'Mistresses -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],76.70588580873374
234,Child Christopher and Goldilind the Fair,English,"Jul 2, 2008",['Fantasy fiction'],['PR: Language and Literatures: English literature'],68.90630670037775
235,William Gibson Interviewed,English,"Mar 1, 1995","['Gibson, William, 1914-2008']",['PS: Language and Literatures: American and Canadian literature'],51.9108600232546
236,The Jungle Book,English,"Jan 16, 2006","['Short stories', 'Animals -- Fiction', 'Jungles -- Fiction', 'India -- Fiction', 'Jungle animals -- Fiction', 'Mowgli (Fictitious character) -- Fiction', 'Adventure stories, English', 'Feral children -- Fiction', 'India -- History -- 19th century -- Fiction']",['PR: Language and Literatures: English literature'],81.10154263319802
