ID,Title,Language,Release Date,Subjects,Categories,Reading Ease
69,The 32nd Mersenne Prime Predicted by Mersenne,English,"Jun 1, 1993","['Numbers, Prime', 'Number theory']",['QA: Science: Mathematics'],34.00856694667843
70,What Is Man? and Other Essays,English,"Sep 13, 2004",['American essays'],['PS: Language and Literatures: American and Canadian literature'],66.14743485011351
71,On the Duty of Civil Disobedience,English,"Jun 1, 1993","['Civil disobedience', 'Government, Resistance to']","['HM: Social sciences: Sociology', 'PS: Language and Literatures: American and Canadian literature']",52.930644269625546
72,"Thuvia, Maid of Mars",English,"Jul 1, 1993","['Science fiction', 'Martians -- Fiction', 'Mars (Planet) -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],70.10212883918582
73,The Red Badge of Courage: An Episode of the American Civil War,English,"Jul 1, 1993","['Historical fiction', 'War stories', 'United States -- History -- Civil War, 1861-1865 -- Fiction', 'Virginia -- History -- Civil War, 1861-1865 -- Fiction', 'Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],75.02804633842594
74,"The Adventures of Tom Sawyer, Complete",English,"Jul 1, 2004","['Humorous stories', 'Bildungsromans', 'Boys -- Fiction', 'Male friendship -- Fiction', 'Adventure stories', 'Missouri -- Fiction', 'Sawyer, Tom (Fictitious character) -- Fiction', 'Child witnesses -- Fiction', 'Runaway children -- Fiction', 'Mississippi River Valley -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],77.1182138029995
75,E-mail 101,English,"Jul 1, 1993",['Electronic mail systems'],"['TK: Technology: Electrical, Electronics and Nuclear engineering']",53.271655098238114
76,Adventures of Huckleberry Finn,English,"Jun 29, 2004","['Humorous stories', 'Bildungsromans', 'Boys -- Fiction', 'Male friendship -- Fiction', 'Adventure stories', 'Missouri -- Fiction', 'Race relations -- Fiction', 'Runaway children -- Fiction', 'Finn, Huckleberry (Fictitious character) -- Fiction', 'Fugitive slaves -- Fiction', 'Mississippi River -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],82.45986734605272
77,The House of the Seven Gables,English,"Aug 1, 1993","['Historical fiction', 'Domestic fiction', 'Paranormal fiction', 'Haunted houses -- Fiction', 'Salem (Mass.) -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],57.747844502782655
78,Tarzan of the Apes,English,"Aug 1, 1993","['Tarzan (Fictitious character) -- Fiction', 'Africa -- Fiction', 'Fantasy fiction', 'Adventure stories', 'British -- Africa -- Fiction', 'Wild men -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],68.53835989030893
79,Terminal Compromise,English,"Aug 1, 1993","['Computer security -- Fiction', 'Didactic fiction', 'Privacy, Right of -- Fiction', 'Records -- Access control -- Fiction']","['PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese']",70.61130178914061
80,The Online World,English,"Sep 1, 1993",['Internet'],"['TK: Technology: Electrical, Electronics and Nuclear engineering']",52.0984685389428
81,The Return of Tarzan,English,"Sep 1, 1993","['Tarzan (Fictitious character) -- Fiction', 'Fantasy fiction', 'Adventure stories']","['PZ: Language and Literatures: Juvenile belles lettres', 'PS: Language and Literatures: American and Canadian literature']",70.61948440669651
82,Ivanhoe: A Romance,English,"Jun 25, 2008","['Historical fiction', 'Knights and knighthood -- Fiction', 'Love stories', 'Triangles (Interpersonal relations) -- Fiction', 'Great Britain -- History -- Richard I, 1189-1199 -- Fiction', 'Jews -- England -- Fiction', 'Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction', 'Anglo-Saxons -- Fiction', 'Normans -- Great Britain -- Fiction']",['PR: Language and Literatures: English literature'],58.38685823925738
83,"From the Earth to the Moon; and, Round the Moon",English,"Sep 1, 1993","['Science fiction', 'Space flight to the moon -- Fiction', 'Moon -- Fiction', 'Space ships -- Fiction', 'Manned space flight -- Fiction']","['PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese']",59.29444660674889
84,"Frankenstein; Or, The Modern Prometheus",English,"Oct 1, 1993","['Science fiction', 'Horror tales', 'Gothic fiction', 'Scientists -- Fiction', 'Monsters -- Fiction', 'Frankenstein, Victor (Fictitious character) -- Fiction', ""Frankenstein's monster (Fictitious character) -- Fiction""]",['PR: Language and Literatures: English literature'],59.92610017713231
85,The Beasts of Tarzan,English,"Oct 1, 1993","['Tarzan (Fictitious character) -- Fiction', 'Fantasy fiction', 'Jungle animals -- Fiction', 'Adventure stories']","['PZ: Language and Literatures: Juvenile belles lettres', 'PS: Language and Literatures: American and Canadian literature']",65.68132982794707
86,A Connecticut Yankee in King Arthur's Court,English,"Jul 7, 2004","['Fantasy fiction', 'Satire', 'Knights and knighthood -- Fiction', 'Arthurian romances -- Adaptations', 'Time travel -- Fiction', 'Americans -- Great Britain -- Fiction', 'Kings and rulers -- Fiction', 'Britons -- Fiction']",['PS: Language and Literatures: American and Canadian literature'],71.22556057209881
87,The 1993 CIA World Factbook,English,"Oct 1, 1993","['World politics -- Handbooks, manuals, etc.', 'Geography -- Handbooks, manuals, etc.', 'Political science -- Handbooks, manuals, etc.', 'Political statistics -- Handbooks, manuals, etc.']","['G: Geography, Anthropology, Recreation']",19.937002593422164
88,Price/Cost Indexes from 1875 to 1989; Estimated to 2010,English,"Nov 1, 1993",['Cost and standard of living'],['HG: Social sciences: Finance'],114.34054992114375
